rank,ligand,confidence_score,iptm,ligand_iptm,ptm,complex_plddt,complex_iplddt
1,cpd_4,0.8972,0.9626,0.9626,0.8006,0.8809,0.8036
2,cpd_1,0.8956,0.946,0.946,0.7991,0.883,0.8281
3,cpd_9,0.8845,0.9311,0.9311,0.8059,0.8728,0.8201
4,cpd_2,0.8525,0.9273,0.9273,0.7793,0.8338,0.5752
5,cpd_6,0.8697,0.9248,0.9248,0.8032,0.8559,0.7474
6,cpd_3,0.8706,0.9206,0.9206,0.8003,0.8581,0.6223
7,cpd_13,0.8398,0.9164,0.9164,0.7789,0.8206,0.4878
8,cpd_10,0.8596,0.9162,0.9162,0.7999,0.8454,0.4682
9,cpd_8,0.8272,0.9131,0.9131,0.7824,0.8057,0.5037
10,sa,0.8703,0.9094,0.9094,0.8495,0.8606,0.6653
11,cpd_12,0.8285,0.9041,0.9041,0.7684,0.8096,0.4454
12,cpd_5,0.8437,0.878,0.878,0.7567,0.8351,0.5602
13,cpd_7,0.8315,0.8707,0.8707,0.7806,0.8217,0.4783
14,cpd_11,0.8181,0.8353,0.8353,0.7338,0.8138,0.4241
