rank,ligand,iptm,ptm,ranking_score,prot_lig_pae_min,has_clash
1,sa,0.85,0.73,0.87,2.38,0.0
2,cpd_10,0.84,0.73,0.86,2.55,0.0
3,cpd_3,0.76,0.74,0.8,3.44,0.0
4,cpd_4,0.71,0.72,0.75,4.62,0.0
5,cpd_6,0.68,0.71,0.72,4.9,0.0
6,cpd_12,0.67,0.71,0.72,5.0,0.0
7,cpd_1,0.67,0.71,0.71,4.99,0.0
8,cpd_5,0.67,0.71,0.71,5.03,0.0
9,cpd_13,0.66,0.71,0.71,4.97,0.0
10,cpd_7,0.66,0.71,0.71,4.85,0.0
11,cpd_9,0.65,0.71,0.7,4.92,0.0
12,cpd_11,0.64,0.7,0.69,5.42,0.0
13,cpd_2,0.64,0.71,0.7,5.74,0.0
14,cpd_8,0.6,0.69,0.66,6.74,0.0
