ligand,boltz2_rank,boltz2_iptm,boltz2_conf,af3_af3msa_iptm,af3_af3msa_score,af3_af3msa_rank,af3_colabfoldmsa_iptm,af3_colabfoldmsa_score,af3_colabfoldmsa_rank
cpd_4,1,0.9626,0.8972,0.65,0.71,9,0.71,0.75,4
cpd_1,2,0.946,0.8956,0.59,0.66,13,0.67,0.71,7
cpd_9,3,0.9311,0.8845,0.7,0.74,4,0.65,0.7,11
cpd_2,4,0.9273,0.8525,0.66,0.71,7,0.64,0.7,13
cpd_6,5,0.9248,0.8697,0.67,0.72,6,0.68,0.72,5
cpd_3,6,0.9206,0.8706,0.69,0.73,5,0.76,0.8,3
cpd_13,7,0.9164,0.8398,0.65,0.7,8,0.66,0.71,9
cpd_10,8,0.9162,0.8596,0.86,0.87,1,0.84,0.86,2
cpd_8,9,0.9131,0.8272,0.58,0.64,14,0.6,0.66,14
sa,10,0.9094,0.8703,0.83,0.85,2,0.85,0.87,1
cpd_12,11,0.9041,0.8285,0.71,0.76,3,0.67,0.72,6
cpd_5,12,0.878,0.8437,0.64,0.69,11,0.67,0.71,8
cpd_7,13,0.8707,0.8315,0.61,0.67,12,0.66,0.71,10
cpd_11,14,0.8353,0.8181,0.64,0.7,10,0.64,0.69,12
