ligand,kd_uM,pKd,boltz2_affinity,score_only_boltz2,redock_boltz2
cpd_1,53.3,4.273272790973428,-0.0006386041641235352,,-6.654
cpd_2,63.5,4.197226274708024,0.7795520424842834,,-6.877
cpd_3,12.8,4.892790030352131,1.6590659618377686,,-5.266
cpd_4,49.9,4.30189945437661,0.4601573050022125,,-6.912
cpd_5,8.0,5.096910013008056,-0.18859665095806122,,-6.334
cpd_6,92.6,4.033389013318065,-0.2829827666282654,,-7.271
cpd_7,16.5,4.782516055786093,-0.22707703709602356,,-6.205
cpd_8,40.4,4.393618634889395,-0.694297730922699,,-7.328
cpd_9,6.5,5.187086643357144,0.1724357306957245,,-7.254
cpd_10,5.1,5.292429823902063,1.816511631011963,,-5.108
cpd_11,90.4,4.043831569524636,0.48532167077064514,,-7.747
cpd_12,4.7,5.327902142064282,0.2817032039165497,,-6.609
cpd_13,5.7,5.2441251443275085,0.094536192715168,,-7.52
